"","DATE","AWND","TAVG","PRCP","SNOW"
"2016-01-01",2016-01-01,5.7,3.9,0,0
"2016-01-02",2016-01-02,6,1.7,0,0
"2016-01-03",2016-01-03,5.2,2.2,0,0
"2016-01-04",2016-01-04,5.5,-1.1,0,0
"2016-01-05",2016-01-05,4.5,-8.9,0,0
"2016-01-06",2016-01-06,4.5,-1.2,0,0
"2016-01-07",2016-01-07,2.9,0.6,0,0
"2016-01-08",2016-01-08,4.9,1.4,0,0
"2016-01-09",2016-01-09,2.7,4.2,0.3,0
"2016-01-10",2016-01-10,6.7,7.2,35.1,0
"2016-01-11",2016-01-11,8.6,4.3,0,0
"2016-01-12",2016-01-12,4.3,-1.9,2,8
"2016-01-13",2016-01-13,8.8,-1.5,0,0
"2016-01-14",2016-01-14,4.7,-4.3,0,0
"2016-01-15",2016-01-15,2.9,-0.4,0,0
"2016-01-16",2016-01-16,4.2,3.7,31,0
"2016-01-17",2016-01-17,4.2,1.8,2.5,33
"2016-01-18",2016-01-18,7.5,-2.7,2.8,46
"2016-01-19",2016-01-19,9.8,-6.6,0,0
"2016-01-20",2016-01-20,8.4,-4.7,0,0
"2016-01-21",2016-01-21,6.2,-2.8,0,0
"2016-01-22",2016-01-22,5.1,-4.3,0,0
"2016-01-23",2016-01-23,9.1,-1.9,9.4,155
"2016-01-24",2016-01-24,5,-4.1,0,0
"2016-01-25",2016-01-25,3.2,-0.6,0,0
"2016-01-26",2016-01-26,6.4,2.6,0,0
"2016-01-27",2016-01-27,5.4,6.1,0,0
"2016-01-28",2016-01-28,3.6,1.1,0,0
"2016-01-29",2016-01-29,3.3,2.1,0,0
"2016-01-30",2016-01-30,6.1,2.2,0,0
"2016-01-31",2016-01-31,5.3,6.1,0,0
"2016-02-01",2016-02-01,6.2,9.7,0,0
"2016-02-02",2016-02-02,3.1,6.6,0,0
"2016-02-03",2016-02-03,6.5,5.3,8.4,0
"2016-02-04",2016-02-04,4.7,12.5,0.3,0
"2016-02-05",2016-02-05,6,2.8,24.4,173
"2016-02-06",2016-02-06,4.7,-1.8,0,0
"2016-02-07",2016-02-07,4.4,0.9,0,0
"2016-02-08",2016-02-08,9.5,-1.7,13.5,163
"2016-02-09",2016-02-09,2.8,-5.2,0,3
"2016-02-10",2016-02-10,3,-2,0,3
"2016-02-11",2016-02-11,7.5,-2.4,0.3,5
"2016-02-12",2016-02-12,5.2,-9.7,0,0
"2016-02-13",2016-02-13,7.3,-6.7,0,0
"2016-02-14",2016-02-14,7.7,-17.7,0,0
"2016-02-15",2016-02-15,2.8,-11.6,6.6,33
"2016-02-16",2016-02-16,6.4,4.3,16.8,0
"2016-02-17",2016-02-17,4.8,5.3,0,0
"2016-02-18",2016-02-18,5.4,0.4,0,0
"2016-02-19",2016-02-19,4,-2.4,0,3
"2016-02-20",2016-02-20,6.2,6.1,0.3,0
"2016-02-21",2016-02-21,5.6,9.8,0,0
"2016-02-22",2016-02-22,3.7,4.3,0,0
"2016-02-23",2016-02-23,5.1,0.3,0,0
"2016-02-24",2016-02-24,5.4,3.8,15,0
"2016-02-25",2016-02-25,9.9,12.1,20.6,0
"2016-02-26",2016-02-26,8.5,3.5,0,0
"2016-02-27",2016-02-27,5.5,-1.9,0,0
"2016-02-28",2016-02-28,6.5,5.8,0,0
"2016-02-29",2016-02-29,7.3,10.1,0,0
"2016-03-01",2016-03-01,5.5,5.3,0,0
"2016-03-02",2016-03-02,8.6,6.1,9.4,0
"2016-03-03",2016-03-03,4.3,-2.6,0,0
"2016-03-04",2016-03-04,5.2,-1.9,0.3,13
"2016-03-05",2016-03-05,4.6,-2.1,0,0
"2016-03-06",2016-03-06,3.1,1,0,0
"2016-03-07",2016-03-07,5.1,3.6,0,0
"2016-03-08",2016-03-08,3.8,6.4,0,0
"2016-03-09",2016-03-09,6,11.9,0,0
"2016-03-10",2016-03-10,4.3,16.7,10.2,0
"2016-03-11",2016-03-11,3.1,8.9,2.3,0
"2016-03-12",2016-03-12,5,7.3,0,0
"2016-03-13",2016-03-13,4.2,12.4,0,0
"2016-03-14",2016-03-14,7.6,6,5.3,0
"2016-03-15",2016-03-15,7.6,5.9,29,0
"2016-03-16",2016-03-16,3.7,6.3,0.8,0
"2016-03-17",2016-03-17,4.7,9.5,1.8,0
"2016-03-18",2016-03-18,6.3,8.6,0.8,0
"2016-03-19",2016-03-19,5.1,2.8,0,0
"2016-03-20",2016-03-20,4.7,0.2,0.5,0
"2016-03-21",2016-03-21,4.5,0.8,5.6,91
"2016-03-22",2016-03-22,6.7,4.3,0,0
"2016-03-23",2016-03-23,5.2,9.3,0,0
"2016-03-24",2016-03-24,7.3,4.6,0,0
"2016-03-25",2016-03-25,2.9,3.8,4.1,0
"2016-03-26",2016-03-26,4.6,4.7,0,0
"2016-03-27",2016-03-27,3.4,2.7,0,0
"2016-03-28",2016-03-28,5,4.6,10.4,0
"2016-03-29",2016-03-29,9.2,7.5,0,0
"2016-03-30",2016-03-30,5.4,6.7,0,0
"2016-03-31",2016-03-31,10.2,12.8,0,0
"2016-04-01",2016-04-01,8,17.3,1.3,0
"2016-04-02",2016-04-02,4,11.6,8.1,0
"2016-04-03",2016-04-03,7.1,3.3,12.4,48
"2016-04-04",2016-04-04,5,-2.2,10.4,119
"2016-04-05",2016-04-05,5.6,-1.8,0,0
"2016-04-06",2016-04-06,4.5,0.7,0,0
"2016-04-07",2016-04-07,7.4,9.4,26.2,0
"2016-04-08",2016-04-08,6.7,9.6,0,0
"2016-04-09",2016-04-09,4.4,3.9,0,0
"2016-04-10",2016-04-10,5.3,3.9,0,0
"2016-04-11",2016-04-11,7.5,8.9,0.3,0
"2016-04-12",2016-04-12,7.1,12.8,5.6,0
"2016-04-13",2016-04-13,4.6,7,0,0
"2016-04-14",2016-04-14,4.7,6.1,0,0
"2016-04-15",2016-04-15,5.1,7,0,0
"2016-04-16",2016-04-16,6,8.2,0,0
"2016-04-17",2016-04-17,3.4,7.8,0,0
"2016-04-18",2016-04-18,3.8,10.8,0,0
"2016-04-19",2016-04-19,3.8,8.3,0.5,0
"2016-04-20",2016-04-20,5.5,9.4,0,0
"2016-04-21",2016-04-21,4.3,12.9,0,0
"2016-04-22",2016-04-22,3.5,18.6,0,0
"2016-04-23",2016-04-23,3.7,15.3,2.3,0
"2016-04-24",2016-04-24,4.3,9.1,0,0
"2016-04-25",2016-04-25,2,9.1,0,0
"2016-04-26",2016-04-26,6,7.3,6.9,0
"2016-04-27",2016-04-27,4.4,7.3,0,0
"2016-04-28",2016-04-28,4.7,9.2,0,0
"2016-04-29",2016-04-29,5.5,8.4,0,0
"2016-04-30",2016-04-30,4.8,9.2,0,0
"2016-05-01",2016-05-01,3.3,9,2.5,0
"2016-05-02",2016-05-02,3.6,8.1,9.9,0
"2016-05-03",2016-05-03,2.2,8.2,2.5,0
"2016-05-04",2016-05-04,5.8,8,12.2,0
"2016-05-05",2016-05-05,7.3,7.1,3.8,0
"2016-05-06",2016-05-06,5.1,8.9,2.3,0
"2016-05-07",2016-05-07,3.6,8.5,0,0
"2016-05-08",2016-05-08,5.3,11.1,0.5,0
"2016-05-09",2016-05-09,6.7,13,0,0
"2016-05-10",2016-05-10,4.2,13.9,0,0
"2016-05-11",2016-05-11,3.3,16.2,0,0
"2016-05-12",2016-05-12,4.1,16.1,0,0
"2016-05-13",2016-05-13,4.1,15.9,2.8,0
"2016-05-14",2016-05-14,5.1,19,0,0
"2016-05-15",2016-05-15,8.7,14.2,0,0
"2016-05-16",2016-05-16,8.5,9.6,0,0
"2016-05-17",2016-05-17,5.5,15.2,0,0
"2016-05-18",2016-05-18,4.2,13.7,0,0
"2016-05-19",2016-05-19,3,12.4,0,0
"2016-05-20",2016-05-20,4,15.4,0,0
"2016-05-21",2016-05-21,3.8,17.8,0,0
"2016-05-22",2016-05-22,3,14.1,0,0
"2016-05-23",2016-05-23,2.6,15.7,0,0
"2016-05-24",2016-05-24,4.6,13.2,6.6,0
"2016-05-25",2016-05-25,3.4,17.1,0,0
"2016-05-26",2016-05-26,3.6,22.5,0,0
"2016-05-27",2016-05-27,3.1,16.6,0,0
"2016-05-28",2016-05-28,3.7,24.4,0,0
"2016-05-29",2016-05-29,3.8,18.2,0,0
"2016-05-30",2016-05-30,3.2,14.6,28.7,0
"2016-05-31",2016-05-31,5.1,24.2,0,0
"2016-06-01",2016-06-01,4.3,20.4,0,0
"2016-06-02",2016-06-02,4.2,14.4,0,0
"2016-06-03",2016-06-03,3.6,15.7,0,0
"2016-06-04",2016-06-04,2.9,18.4,0,0
"2016-06-05",2016-06-05,3.8,17.8,23.1,0
"2016-06-06",2016-06-06,4.7,22.2,0,0
"2016-06-07",2016-06-07,4.1,23.6,3.8,0
"2016-06-08",2016-06-08,7,19.2,0,0
"2016-06-09",2016-06-09,7.9,16.2,0,0
"2016-06-10",2016-06-10,5,16.7,0,0
"2016-06-11",2016-06-11,3.1,15.9,0.5,0
"2016-06-12",2016-06-12,7.7,20.2,0,0
"2016-06-13",2016-06-13,7.5,16.7,0,0
"2016-06-14",2016-06-14,5.5,19.2,0,0
"2016-06-15",2016-06-15,4.5,23.2,0,0
"2016-06-16",2016-06-16,3.1,21.9,0,0
"2016-06-17",2016-06-17,3.7,19,3,0
"2016-06-18",2016-06-18,4.4,19,0,0
"2016-06-19",2016-06-19,5.2,19.8,0,0
"2016-06-20",2016-06-20,5.7,21.6,0,0
"2016-06-21",2016-06-21,5.8,23,0.5,0
"2016-06-22",2016-06-22,4.3,22.3,0,0
"2016-06-23",2016-06-23,4,20.8,0,0
"2016-06-24",2016-06-24,3.8,19.6,0,0
"2016-06-25",2016-06-25,2.8,18.8,0,0
"2016-06-26",2016-06-26,4.3,20.9,0,0
"2016-06-27",2016-06-27,6.8,23.1,0,0
"2016-06-28",2016-06-28,4.7,22.7,2,0
"2016-06-29",2016-06-29,3.8,23.5,0.8,0
"2016-06-30",2016-06-30,4.4,23,0,0
"2016-07-01",2016-07-01,5.1,24.2,5.1,0
"2016-07-02",2016-07-02,5.7,22.7,0,0
"2016-07-03",2016-07-03,4.9,23,0,0
"2016-07-04",2016-07-04,5.3,25.1,0,0
"2016-07-05",2016-07-05,2.3,21.3,5.8,0
"2016-07-06",2016-07-06,4,25.8,0,0
"2016-07-07",2016-07-07,3.6,21.3,0,0
"2016-07-08",2016-07-08,4.7,17.3,0.5,0
"2016-07-09",2016-07-09,4.3,16.4,2.8,0
"2016-07-10",2016-07-10,2.8,16.4,2.3,0
"2016-07-11",2016-07-11,3.1,18.1,0,0
"2016-07-12",2016-07-12,4,24,0,0
"2016-07-13",2016-07-13,5.4,25.5,0,0
"2016-07-14",2016-07-14,6.4,24.7,0,0
"2016-07-15",2016-07-15,3.8,27.4,0,0
"2016-07-16",2016-07-16,3.8,28.8,0,0
"2016-07-17",2016-07-17,3.2,24.6,0,0
"2016-07-18",2016-07-18,5.3,25.6,0.3,0
"2016-07-19",2016-07-19,4.8,25.5,0,0
"2016-07-20",2016-07-20,4.6,23.3,0,0
"2016-07-21",2016-07-21,4.3,26.2,0,0
"2016-07-22",2016-07-22,7.7,28.7,0,0
"2016-07-23",2016-07-23,4.8,28.1,0,0
"2016-07-24",2016-07-24,3.5,24.9,0,0
"2016-07-25",2016-07-25,3.9,24.2,0,0
"2016-07-26",2016-07-26,5.6,28.9,0,0
"2016-07-27",2016-07-27,4.3,27.1,0,0
"2016-07-28",2016-07-28,3.2,27.6,0,0
"2016-07-29",2016-07-29,3.8,24.8,1.5,0
"2016-07-30",2016-07-30,4.3,23.8,0,0
"2016-07-31",2016-07-31,4,21.8,3.8,0
"2016-08-01",2016-08-01,3.9,21.4,0,0
"2016-08-02",2016-08-02,3.1,21.1,1,0
"2016-08-03",2016-08-03,3.7,21,0,0
"2016-08-04",2016-08-04,5.1,23.2,0,0
"2016-08-05",2016-08-05,5.4,24.1,0,0
"2016-08-06",2016-08-06,5.4,25.2,0.5,0
"2016-08-07",2016-08-07,4.3,26.8,0,0
"2016-08-08",2016-08-08,4.1,24.6,0,0
"2016-08-09",2016-08-09,4.9,23.9,0,0
"2016-08-10",2016-08-10,5.1,23.6,5.8,0
"2016-08-11",2016-08-11,4.4,28.6,0,0
"2016-08-12",2016-08-12,5.9,29.9,0.3,0
"2016-08-13",2016-08-13,4.6,23.2,8.6,0
"2016-08-14",2016-08-14,5.1,26.7,4.6,0
"2016-08-15",2016-08-15,4.1,28.2,0,0
"2016-08-16",2016-08-16,4.3,23.6,0,0
"2016-08-17",2016-08-17,6.7,27.1,0,0
"2016-08-18",2016-08-18,3.4,25.2,0,0
"2016-08-19",2016-08-19,4.3,25.4,0,0
"2016-08-20",2016-08-20,4.1,23.1,0,0
"2016-08-21",2016-08-21,4.8,21.7,0.3,0
"2016-08-22",2016-08-22,6.2,22.9,22.6,0
"2016-08-23",2016-08-23,4.2,21.4,0,0
"2016-08-24",2016-08-24,4.1,23.6,0,0
"2016-08-25",2016-08-25,6.3,25.3,0,0
"2016-08-26",2016-08-26,4.3,26.6,0,0
"2016-08-27",2016-08-27,4.1,25.6,0,0
"2016-08-28",2016-08-28,4.8,22.5,0,0
"2016-08-29",2016-08-29,6,25,0,0
"2016-08-30",2016-08-30,4.1,21.9,0,0
"2016-08-31",2016-08-31,5.3,23.5,0,0
"2016-09-01",2016-09-01,3.6,23.6,0.5,0
"2016-09-02",2016-09-02,4.5,20.7,0,0
"2016-09-03",2016-09-03,3,18.6,0,0
"2016-09-04",2016-09-04,5.5,18.6,0,0
"2016-09-05",2016-09-05,8.4,18.4,1.8,0
"2016-09-06",2016-09-06,6.3,18.4,3.6,0
"2016-09-07",2016-09-07,3.8,20.4,0.8,0
"2016-09-08",2016-09-08,3.3,20.9,0,0
"2016-09-09",2016-09-09,4,26.2,0,0
"2016-09-10",2016-09-10,3.9,23.9,0.3,0
"2016-09-11",2016-09-11,6.4,24.2,0.8,0
"2016-09-12",2016-09-12,4,19.1,0,0
"2016-09-13",2016-09-13,5.1,21.3,0,0
"2016-09-14",2016-09-14,6.3,23.2,1.5,0
"2016-09-15",2016-09-15,4.5,17.2,0,0
"2016-09-16",2016-09-16,4.7,16.8,0,0
"2016-09-17",2016-09-17,5.3,18.5,0,0
"2016-09-18",2016-09-18,5.8,22.8,0,0
"2016-09-19",2016-09-19,2.8,22.2,8.4,0
"2016-09-20",2016-09-20,2.7,21.2,0,0
"2016-09-21",2016-09-21,3.7,23.7,0,0
"2016-09-22",2016-09-22,3.2,21.7,0,0
"2016-09-23",2016-09-23,4.2,20.9,8.6,0
"2016-09-24",2016-09-24,4.5,15.4,0,0
"2016-09-25",2016-09-25,5.5,14.3,0,0
"2016-09-26",2016-09-26,4.2,13.6,0,0
"2016-09-27",2016-09-27,2.4,17.3,5.6,0
"2016-09-28",2016-09-28,7.9,15,0,0
"2016-09-29",2016-09-29,8.1,13.9,0,0
"2016-09-30",2016-09-30,7.9,14.6,3.3,0
"2016-10-01",2016-10-01,6.7,13.8,18,0
"2016-10-02",2016-10-02,3.4,12.8,0.8,0
"2016-10-03",2016-10-03,3.6,15.3,0,0
"2016-10-04",2016-10-04,5.6,15.2,0,0
"2016-10-05",2016-10-05,3.4,12.2,0,0
"2016-10-06",2016-10-06,2.2,13.6,0,0
"2016-10-07",2016-10-07,2.1,15.6,0,0
"2016-10-08",2016-10-08,2.4,15.3,0.3,0
"2016-10-09",2016-10-09,5.8,15.1,46.7,0
"2016-10-10",2016-10-10,7,10.4,0,0
"2016-10-11",2016-10-11,3.3,10.5,0,0
"2016-10-12",2016-10-12,3.4,12.6,0,0
"2016-10-13",2016-10-13,4.3,15.6,0,0
"2016-10-14",2016-10-14,4.3,12.2,0,0
"2016-10-15",2016-10-15,3.6,9.7,0,0
"2016-10-16",2016-10-16,5.8,13.4,0,0
"2016-10-17",2016-10-17,3,18.8,0,0
"2016-10-18",2016-10-18,3.7,16.4,3.6,0
"2016-10-19",2016-10-19,5.2,21.9,0,0
"2016-10-20",2016-10-20,5.6,15.8,2,0
"2016-10-21",2016-10-21,3.6,16.8,28.2,0
"2016-10-22",2016-10-22,5.8,16.1,3.8,0
"2016-10-23",2016-10-23,8.8,9.8,0,0
"2016-10-24",2016-10-24,7,12.3,0,0
"2016-10-25",2016-10-25,6.4,7.6,0,0
"2016-10-26",2016-10-26,5.5,5.4,0,0
"2016-10-27",2016-10-27,4.3,4.7,16.5,0
"2016-10-28",2016-10-28,8.4,8.9,15.5,0
"2016-10-29",2016-10-29,4.4,8.3,0,0
"2016-10-30",2016-10-30,4.1,14.4,3.3,0
"2016-10-31",2016-10-31,5.5,8.2,0,0
"2016-11-01",2016-11-01,3.2,5.8,0,0
"2016-11-02",2016-11-02,2.6,12.6,0,0
"2016-11-03",2016-11-03,3.4,13.5,2,0
"2016-11-04",2016-11-04,4.7,11.3,0,0
"2016-11-05",2016-11-05,3.6,7.2,0,0
"2016-11-06",2016-11-06,5,9.1,2.3,0
"2016-11-07",2016-11-07,4.1,5.8,0,0
"2016-11-08",2016-11-08,2.1,7.9,0,0
"2016-11-09",2016-11-09,3.2,11.3,0.3,0
"2016-11-10",2016-11-10,5,8.2,0,0
"2016-11-11",2016-11-11,8.3,10.1,0,0
"2016-11-12",2016-11-12,6,4.8,0,0
"2016-11-13",2016-11-13,4.7,9.3,0,0
"2016-11-14",2016-11-14,4.3,11.6,0,0
"2016-11-15",2016-11-15,5,10.6,25.1,0
"2016-11-16",2016-11-16,5.1,11.6,0.8,0
"2016-11-17",2016-11-17,5.2,10.8,0,0
"2016-11-18",2016-11-18,4.1,10.1,0,0
"2016-11-19",2016-11-19,3,8.9,0,0
"2016-11-20",2016-11-20,8,6.9,2,0
"2016-11-21",2016-11-21,8.1,1.2,0,0
"2016-11-22",2016-11-22,7.6,2.1,0,0
"2016-11-23",2016-11-23,6,2.9,0,0
"2016-11-24",2016-11-24,2.1,2.9,1.3,0
"2016-11-25",2016-11-25,2.1,5.8,0.8,0
"2016-11-26",2016-11-26,3.1,5.6,0,0
"2016-11-27",2016-11-27,6,4.9,0,0
"2016-11-28",2016-11-28,3.6,3.9,0,0
"2016-11-29",2016-11-29,4.3,5.8,10.9,0
"2016-11-30",2016-11-30,4.5,9.1,23.1,0
"2016-12-01",2016-12-01,7,10.1,7.9,0
"2016-12-02",2016-12-02,6.4,7.2,0,0
"2016-12-03",2016-12-03,7,5.4,0,0
"2016-12-04",2016-12-04,4.5,2.7,0,0
"2016-12-05",2016-12-05,3.5,1.3,3.6,8
"2016-12-06",2016-12-06,3.4,3.8,0,0
"2016-12-07",2016-12-07,3.4,4.4,2,0
"2016-12-08",2016-12-08,4.9,3.9,0,0
"2016-12-09",2016-12-09,7.2,1.2,0,0
"2016-12-10",2016-12-10,5.3,-3.6,0,0
"2016-12-11",2016-12-11,3.3,-3.3,0.5,5
"2016-12-12",2016-12-12,5,2.5,10.7,18
"2016-12-13",2016-12-13,4.7,3.4,0,0
"2016-12-14",2016-12-14,5,3.1,0,0
"2016-12-15",2016-12-15,9.8,-2.7,0,0
"2016-12-16",2016-12-16,6.3,-10.8,0,0
"2016-12-17",2016-12-17,3.2,-3.4,13.5,109
"2016-12-18",2016-12-18,7.8,6.9,2.8,0
"2016-12-19",2016-12-19,5.1,-2.6,0,0
"2016-12-20",2016-12-20,3.7,-4.6,0,0
"2016-12-21",2016-12-21,5.1,1.8,0,0
"2016-12-22",2016-12-22,3.5,1.8,0.5,0
"2016-12-23",2016-12-23,4.9,3.7,0,0
"2016-12-24",2016-12-24,5.2,4.4,9.7,0
"2016-12-25",2016-12-25,5.3,4.2,0,0
"2016-12-26",2016-12-26,4.6,-0.9,0.3,0
"2016-12-27",2016-12-27,8.9,10.5,0,0
"2016-12-28",2016-12-28,4.8,4,0,0
"2016-12-29",2016-12-29,5.1,1.6,29.5,10
"2016-12-30",2016-12-30,7.9,2.4,0,0
"2016-12-31",2016-12-31,6.3,-0.3,1.8,0
"2017-01-01",2017-01-01,6.3,4.4,1.8,0
"2017-01-02",2017-01-02,2,1.7,0,0
"2017-01-03",2017-01-03,8.1,5.2,22.6,0
"2017-01-04",2017-01-04,5.6,5.9,1.5,0
"2017-01-05",2017-01-05,6.6,-0.1,0,0
"2017-01-06",2017-01-06,3.6,-1.8,1.5,28
"2017-01-07",2017-01-07,6.4,-5.2,13.5,178
"2017-01-08",2017-01-08,6,-7.8,0.3,5
"2017-01-09",2017-01-09,5,-9.2,0,0
"2017-01-10",2017-01-10,4.2,-5.1,3.6,0
"2017-01-11",2017-01-11,6.7,7.4,2.3,0
"2017-01-12",2017-01-12,6.5,10.1,3.8,0
"2017-01-13",2017-01-13,7.3,9.2,0,0
"2017-01-14",2017-01-14,4.3,-3.4,0,0
"2017-01-15",2017-01-15,4.1,-0.3,0,0
"2017-01-16",2017-01-16,4.3,-0.4,0,0
"2017-01-17",2017-01-17,5.1,2.9,7.6,0
"2017-01-18",2017-01-18,6.2,3.2,9.1,0
"2017-01-19",2017-01-19,3.6,2.6,0,0
"2017-01-20",2017-01-20,2.4,3.4,0,0
"2017-01-21",2017-01-21,3.2,6,0,0
"2017-01-22",2017-01-22,4.9,6.6,1.5,0
"2017-01-23",2017-01-23,11.3,3.3,7.9,0
"2017-01-24",2017-01-24,10.9,3.8,27.7,0
"2017-01-25",2017-01-25,7,3.6,0.5,0
"2017-01-26",2017-01-26,6,5.7,1.3,0
"2017-01-27",2017-01-27,7.9,4.8,0,0
"2017-01-28",2017-01-28,6.8,2.9,0,0
"2017-01-29",2017-01-29,5.1,2.2,0,0
"2017-01-30",2017-01-30,4.4,0.5,0,0
"2017-01-31",2017-01-31,3.3,-3.9,1.5,15
"2017-02-01",2017-02-01,4.5,0.1,1.3,20
"2017-02-02",2017-02-02,6,2.1,0,0
"2017-02-03",2017-02-03,5.2,-1.3,0,0
"2017-02-04",2017-02-04,5.9,-2.9,0,0
"2017-02-05",2017-02-05,6,0.1,0,0
"2017-02-06",2017-02-06,6.3,2.2,0,0
"2017-02-07",2017-02-07,7.4,1.4,11.2,30
"2017-02-08",2017-02-08,4.1,2.6,0.5,0
"2017-02-09",2017-02-09,9.4,0.2,31.8,277
"2017-02-10",2017-02-10,5.8,-8.6,0,0
"2017-02-11",2017-02-11,4,-6.2,5.3,81
"2017-02-12",2017-02-12,6.5,-3.7,19.6,38
"2017-02-13",2017-02-13,8.9,-0.9,2.3,56
"2017-02-14",2017-02-14,4.3,-2.7,0,0
"2017-02-15",2017-02-15,3.1,0.2,5.6,3
"2017-02-16",2017-02-16,7.3,0.8,1.8,41
"2017-02-17",2017-02-17,6.2,-0.9,0,0
"2017-02-18",2017-02-18,6.1,2.4,0,0
"2017-02-19",2017-02-19,4.8,9.3,0,0
"2017-02-20",2017-02-20,5,6.8,0,0
"2017-02-21",2017-02-21,4.1,1.9,0,0
"2017-02-22",2017-02-22,3.6,5.9,0,0
"2017-02-23",2017-02-23,5.5,9.6,0,0
"2017-02-24",2017-02-24,5.3,13.8,0,0
"2017-02-25",2017-02-25,4.9,13.9,2.5,0
"2017-02-26",2017-02-26,7.8,6.9,0,0
"2017-02-27",2017-02-27,7.5,4.2,0,0
"2017-02-28",2017-02-28,3.4,6.7,0,0
"2017-03-01",2017-03-01,6.5,11.6,0.5,0
"2017-03-02",2017-03-02,9.8,10,0,0
"2017-03-03",2017-03-03,6.5,-0.4,0,3
"2017-03-04",2017-03-04,8.7,-6.9,0,0
"2017-03-05",2017-03-05,7.9,-7.8,0,0
"2017-03-06",2017-03-06,3.6,-3.8,0,0
"2017-03-07",2017-03-07,4.3,2.5,0.5,0
"2017-03-08",2017-03-08,6.4,10.4,1.3,0
"2017-03-09",2017-03-09,8,8,0,0
"2017-03-10",2017-03-10,3.7,1.2,5.1,66
"2017-03-11",2017-03-11,8.7,-7.3,0.5,5
"2017-03-12",2017-03-12,7.4,-8.5,0,0
"2017-03-13",2017-03-13,4.7,-5.7,0,0
"2017-03-14",2017-03-14,10.6,-0.8,41.1,168
"2017-03-15",2017-03-15,8.7,-3.3,0,0
"2017-03-16",2017-03-16,7.2,-3.3,0,0
"2017-03-17",2017-03-17,4.3,0.4,0,0
"2017-03-18",2017-03-18,5.2,0.1,0,0
"2017-03-19",2017-03-19,7.2,1.2,0.3,0
"2017-03-20",2017-03-20,5.1,4.6,0,0
"2017-03-21",2017-03-21,4,7.1,0,0
"2017-03-22",2017-03-22,9.3,3.1,0,0
"2017-03-23",2017-03-23,6,-3.8,0,0
"2017-03-24",2017-03-24,4.7,1.7,0.8,0
"2017-03-25",2017-03-25,3.1,5.3,2,0
"2017-03-26",2017-03-26,5.1,2,0,0
"2017-03-27",2017-03-27,3.8,3.9,12.2,0
"2017-03-28",2017-03-28,3,3.3,18.3,0
"2017-03-29",2017-03-29,6,4.7,1.5,0
"2017-03-30",2017-03-30,4.7,4.2,0,0
"2017-03-31",2017-03-31,5.6,2.9,22.1,15
"2017-04-01",2017-04-01,8.8,1.8,39.6,30
