"","DATE","AWND","TAVG","PRCP","SNOW"
"2017-04-02",2017-04-02,4.2,4.8,0,0
"2017-04-03",2017-04-03,4,8.2,0,0
"2017-04-04",2017-04-04,7.4,5.3,17.3,0
"2017-04-05",2017-04-05,3.7,4.2,0,0
"2017-04-06",2017-04-06,6.4,3.8,34.5,0
"2017-04-07",2017-04-07,7.5,9.1,0,0
"2017-04-08",2017-04-08,7.2,6.2,0,0
"2017-04-09",2017-04-09,4.3,10.3,0,0
"2017-04-10",2017-04-10,5.5,15,0,0
"2017-04-11",2017-04-11,5,17.7,0,0
"2017-04-12",2017-04-12,3.5,12.8,0.5,0
"2017-04-13",2017-04-13,5,11.7,0,0
"2017-04-14",2017-04-14,4.2,10.7,0,0
"2017-04-15",2017-04-15,7.1,12.4,0,0
"2017-04-16",2017-04-16,7.9,20.7,0,0
"2017-04-17",2017-04-17,6.4,20.9,0,0
"2017-04-18",2017-04-18,6,9.7,0,0
"2017-04-19",2017-04-19,5.6,7,1.8,0
"2017-04-20",2017-04-20,4.5,8.8,0.3,0
"2017-04-21",2017-04-21,6.4,7.1,13,0
"2017-04-22",2017-04-22,4,6.6,1.3,0
"2017-04-23",2017-04-23,5.3,8.6,0,0
"2017-04-24",2017-04-24,3.8,11.8,0,0
"2017-04-25",2017-04-25,7.1,9.3,22.6,0
"2017-04-26",2017-04-26,4.5,10.1,14.2,0
"2017-04-27",2017-04-27,3,11.5,0,0
"2017-04-28",2017-04-28,3.4,17.2,0.3,0
"2017-04-29",2017-04-29,5.9,22.6,0,0
"2017-04-30",2017-04-30,5.2,12.8,0.3,0
"2017-05-01",2017-05-01,4.1,8.3,0,0
"2017-05-02",2017-05-02,3.6,9.7,4.8,0
"2017-05-03",2017-05-03,6.6,13.6,0,0
"2017-05-04",2017-05-04,5.3,10.7,0,0
"2017-05-05",2017-05-05,5.1,9.4,16.3,0
"2017-05-06",2017-05-06,4.8,13.4,2.5,0
"2017-05-07",2017-05-07,7,14.2,0,0
"2017-05-08",2017-05-08,6,10.1,0,0
"2017-05-09",2017-05-09,3.3,8.1,0,0
"2017-05-10",2017-05-10,4.1,10,0,0
"2017-05-11",2017-05-11,4.6,10.3,0,0
"2017-05-12",2017-05-12,3.7,9.7,0.3,0
"2017-05-13",2017-05-13,5.3,9.3,0.5,0
"2017-05-14",2017-05-14,8,8.8,24.1,0
"2017-05-15",2017-05-15,6.4,10.8,1.8,0
"2017-05-16",2017-05-16,5.5,18.3,0,0
"2017-05-17",2017-05-17,4.8,24,0,0
"2017-05-18",2017-05-18,6.6,28.7,1.3,0
"2017-05-19",2017-05-19,7.1,26.8,0.3,0
"2017-05-20",2017-05-20,4.9,14.6,0,0
"2017-05-21",2017-05-21,4.7,13.4,0,0
"2017-05-22",2017-05-22,3.6,12.2,3,0
"2017-05-23",2017-05-23,2.9,13.9,0,0
"2017-05-24",2017-05-24,2.6,14.8,0,0
"2017-05-25",2017-05-25,6.7,11.9,16,0
"2017-05-26",2017-05-26,4.6,11.5,14,0
"2017-05-27",2017-05-27,4.1,13.4,0,0
"2017-05-28",2017-05-28,3.6,14.5,0,0
"2017-05-29",2017-05-29,4.7,11.5,1.3,0
"2017-05-30",2017-05-30,3.2,10.7,0,0
"2017-05-31",2017-05-31,3.5,15.1,1.5,0
"2017-06-01",2017-06-01,4.4,19.2,4.1,0
"2017-06-02",2017-06-02,6.1,18.4,0.3,0
"2017-06-03",2017-06-03,4.7,16.3,0,0
"2017-06-04",2017-06-04,4.4,16.6,4.6,0
"2017-06-05",2017-06-05,7.1,13.1,15,0
"2017-06-06",2017-06-06,7.5,9.9,20.3,0
"2017-06-07",2017-06-07,3.6,12.5,1,0
"2017-06-08",2017-06-08,3.4,15.9,0,0
"2017-06-09",2017-06-09,4.5,17.5,0,0
"2017-06-10",2017-06-10,5.1,22.9,0,0
"2017-06-11",2017-06-11,6.4,25.9,0,0
"2017-06-12",2017-06-12,4.9,28.9,0,0
"2017-06-13",2017-06-13,4.7,29.3,13.5,0
"2017-06-14",2017-06-14,4.7,21.7,0,0
"2017-06-15",2017-06-15,5.2,17.9,0,0
"2017-06-16",2017-06-16,4.6,17.6,54.1,0
"2017-06-17",2017-06-17,2.2,16.3,0.5,0
"2017-06-18",2017-06-18,5.9,22.4,0,0
"2017-06-19",2017-06-19,7.1,24,0.8,0
"2017-06-20",2017-06-20,6.2,24.3,3.3,0
"2017-06-21",2017-06-21,5.7,24.5,0,0
"2017-06-22",2017-06-22,3.7,23.4,0,0
"2017-06-23",2017-06-23,5.4,24.7,0,0
"2017-06-24",2017-06-24,5.8,24.6,2,0
"2017-06-25",2017-06-25,4.7,24.8,0,0
"2017-06-26",2017-06-26,5.1,21.6,0,0
"2017-06-27",2017-06-27,4.3,19.8,2,0
"2017-06-28",2017-06-28,4.9,19.3,0,0
"2017-06-29",2017-06-29,5.6,21.6,0,0
"2017-06-30",2017-06-30,6,23.2,1.8,0
"2017-07-01",2017-07-01,6.2,24.5,2.8,0
"2017-07-02",2017-07-02,5.1,26.1,0,0
"2017-07-03",2017-07-03,5.8,26.7,0,0
"2017-07-04",2017-07-04,2.8,24.4,0,0
"2017-07-05",2017-07-05,3.8,21.8,0,0
"2017-07-06",2017-07-06,4.3,21.8,0,0
"2017-07-07",2017-07-07,3.7,19.3,7.6,0
"2017-07-08",2017-07-08,4.1,21.9,10.2,0
"2017-07-09",2017-07-09,5.3,23.4,0,0
"2017-07-10",2017-07-10,5.6,24.9,0,0
"2017-07-11",2017-07-11,3.6,22.6,4.3,0
"2017-07-12",2017-07-12,3.4,24.4,33.8,0
"2017-07-13",2017-07-13,4.7,18.7,3.6,0
"2017-07-14",2017-07-14,3.3,16.4,0,0
"2017-07-15",2017-07-15,3,18.7,0,0
"2017-07-16",2017-07-16,4.3,23.2,0,0
"2017-07-17",2017-07-17,3.8,24.3,0,0
"2017-07-18",2017-07-18,3.5,23.3,3,0
"2017-07-19",2017-07-19,4,26.3,0,0
"2017-07-20",2017-07-20,3.4,28.7,0,0
"2017-07-21",2017-07-21,4.6,27.3,0,0
"2017-07-22",2017-07-22,3.4,25.8,0,0
"2017-07-23",2017-07-23,5.2,21.7,0,0
"2017-07-24",2017-07-24,6.1,16.6,35.8,0
"2017-07-25",2017-07-25,3.7,15.4,0.3,0
"2017-07-26",2017-07-26,3.7,19.2,0,0
"2017-07-27",2017-07-27,5.5,19.7,1,0
"2017-07-28",2017-07-28,3.5,22.3,0,0
"2017-07-29",2017-07-29,6.2,19.8,0,0
"2017-07-30",2017-07-30,4.5,19.1,0,0
"2017-07-31",2017-07-31,3.8,21.1,0,0
"2017-08-01",2017-08-01,3.4,23.6,0,0
"2017-08-02",2017-08-02,3.8,23.2,24.4,0
"2017-08-03",2017-08-03,4.5,23.1,0,0
"2017-08-04",2017-08-04,4.5,23.9,0,0
"2017-08-05",2017-08-05,4.4,22.5,4.1,0
"2017-08-06",2017-08-06,6.3,21.5,0,0
"2017-08-07",2017-08-07,4.3,21.7,0,0
"2017-08-08",2017-08-08,3.7,19.6,0,0
"2017-08-09",2017-08-09,3.8,22.8,0,0
"2017-08-10",2017-08-10,3.8,23.2,0,0
"2017-08-11",2017-08-11,4.3,21.7,0,0
"2017-08-12",2017-08-12,4,20.2,2.5,0
"2017-08-13",2017-08-13,4.5,24.6,0,0
"2017-08-14",2017-08-14,2.6,22.2,0,0
"2017-08-15",2017-08-15,4,22.6,0,0
"2017-08-16",2017-08-16,4.7,23.7,0,0
"2017-08-17",2017-08-17,3.5,22.7,0,0
"2017-08-18",2017-08-18,4.8,22.3,6.1,0
"2017-08-19",2017-08-19,2.8,21.1,0.3,0
"2017-08-20",2017-08-20,4.8,24.1,0,0
"2017-08-21",2017-08-21,4.3,25.1,0,0
"2017-08-22",2017-08-22,5.7,25.9,0,0
"2017-08-23",2017-08-23,5.5,25.4,1,0
"2017-08-24",2017-08-24,3.5,22.5,0,0
"2017-08-25",2017-08-25,3.5,19.9,0,0
"2017-08-26",2017-08-26,3.4,19.3,0,0
"2017-08-27",2017-08-27,3.4,18.1,0,0
"2017-08-28",2017-08-28,3,18.1,0,0
"2017-08-29",2017-08-29,3.3,17.1,0,0
"2017-08-30",2017-08-30,4.1,18.1,1.8,0
"2017-08-31",2017-08-31,5.4,20,0,0
"2017-09-01",2017-09-01,6.6,16.8,0,0
"2017-09-02",2017-09-02,4.4,15.8,0,0
"2017-09-03",2017-09-03,5.8,15.4,7.1,0
"2017-09-04",2017-09-04,6.2,19,0,0
"2017-09-05",2017-09-05,7.6,23.2,0,0
"2017-09-06",2017-09-06,3.7,21.3,5.6,0
"2017-09-07",2017-09-07,4.8,18.9,15.2,0
"2017-09-08",2017-09-08,4.6,18.6,0,0
"2017-09-09",2017-09-09,3.7,16.8,0.3,0
"2017-09-10",2017-09-10,3.9,16.8,0,0
"2017-09-11",2017-09-11,4.4,19,0,0
"2017-09-12",2017-09-12,3.8,22.3,0,0
"2017-09-13",2017-09-13,3.8,21.7,0.8,0
"2017-09-14",2017-09-14,5,23.5,8.4,0
"2017-09-15",2017-09-15,3.1,21.9,5.3,0
"2017-09-16",2017-09-16,1.9,19.6,0,0
"2017-09-17",2017-09-17,2,18.2,0,0
"2017-09-18",2017-09-18,3,18.5,0,0
"2017-09-19",2017-09-19,6.1,17.8,1,0
"2017-09-20",2017-09-20,9,18.8,6.9,0
"2017-09-21",2017-09-21,10.3,21.1,0,0
"2017-09-22",2017-09-22,9.9,15.9,4.1,0
"2017-09-23",2017-09-23,4,18,0.8,0
"2017-09-24",2017-09-24,1.4,19.9,0,0
"2017-09-25",2017-09-25,2.1,21.4,0,0
"2017-09-26",2017-09-26,2.2,20.8,0,0
"2017-09-27",2017-09-27,3.8,23.5,0,0
"2017-09-28",2017-09-28,5.9,23.8,0,0
"2017-09-29",2017-09-29,4.2,15.2,0,0
"2017-09-30",2017-09-30,4.7,13.3,39.4,0
"2017-10-01",2017-10-01,3.7,12.6,0,0
"2017-10-02",2017-10-02,3.8,14.8,0,0
"2017-10-03",2017-10-03,4,14.7,0,0
"2017-10-04",2017-10-04,7.1,16.8,0,0
"2017-10-05",2017-10-05,4.8,21.3,0,0
"2017-10-06",2017-10-06,2.8,20.4,0,0
"2017-10-07",2017-10-07,4,19,0,0
"2017-10-08",2017-10-08,6.2,21.8,2.8,0
"2017-10-09",2017-10-09,4.9,21.8,6.9,0
"2017-10-10",2017-10-10,4.8,23.2,0,0
"2017-10-11",2017-10-11,4.6,18.2,0.3,0
"2017-10-12",2017-10-12,6.1,13.6,0,0
"2017-10-13",2017-10-13,4.7,12.6,0,0
"2017-10-14",2017-10-14,1.4,15.5,2.5,0
"2017-10-15",2017-10-15,6,18.1,0,0
"2017-10-16",2017-10-16,6.1,17,0,0
"2017-10-17",2017-10-17,4.6,8.9,0,0
"2017-10-18",2017-10-18,4.2,14,0,0
"2017-10-19",2017-10-19,5.9,16.3,0,0
"2017-10-20",2017-10-20,5.5,17.3,0,0
"2017-10-21",2017-10-21,3,17.8,0,0
"2017-10-22",2017-10-22,2.1,15.9,0,0
"2017-10-23",2017-10-23,1.8,13.3,0,0
"2017-10-24",2017-10-24,8.3,19.1,1.8,0
"2017-10-25",2017-10-25,3.8,19.5,32.8,0
"2017-10-26",2017-10-26,5.7,15,8.9,0
"2017-10-27",2017-10-27,4.9,11.5,0,0
"2017-10-28",2017-10-28,3.9,13.3,0,0
"2017-10-29",2017-10-29,7.5,14.7,25.4,0
"2017-10-30",2017-10-30,10.2,15.2,23.9,0
"2017-10-31",2017-10-31,5.8,11.4,0,0
"2017-11-01",2017-11-01,2.9,9.1,0,0
"2017-11-02",2017-11-02,4.1,14.8,0,0
"2017-11-03",2017-11-03,6.6,17.9,0.3,0
"2017-11-04",2017-11-04,4.7,10.3,0,0
"2017-11-05",2017-11-05,4.6,11.3,0,0
"2017-11-06",2017-11-06,6,16.2,2,0
"2017-11-07",2017-11-07,4.6,8.6,3.3,0
"2017-11-08",2017-11-08,5.2,4.7,0.8,0
"2017-11-09",2017-11-09,3.3,4.9,0,0
"2017-11-10",2017-11-10,8.2,4.9,0.5,0
"2017-11-11",2017-11-11,4.3,-2.1,0,0
"2017-11-12",2017-11-12,1.7,1.7,0,0
"2017-11-13",2017-11-13,4.1,4.3,3.3,0
"2017-11-14",2017-11-14,4.4,3.9,0,0
"2017-11-15",2017-11-15,3.6,4,0,0
"2017-11-16",2017-11-16,4.5,6.4,4.8,0
"2017-11-17",2017-11-17,7.2,5.4,0,0
"2017-11-18",2017-11-18,3,3.2,2.3,0
"2017-11-19",2017-11-19,8.2,10.9,5.8,0
"2017-11-20",2017-11-20,7.2,3.6,0,0
"2017-11-21",2017-11-21,6.4,7.3,0,0
"2017-11-22",2017-11-22,5,9.3,22.6,0
"2017-11-23",2017-11-23,4.1,3.2,0,0
"2017-11-24",2017-11-24,4.1,3.9,0,0
"2017-11-25",2017-11-25,4.8,7.9,0,0
"2017-11-26",2017-11-26,6.9,8.8,0,0
"2017-11-27",2017-11-27,5.8,4.1,0,0
"2017-11-28",2017-11-28,4.1,-0.6,0,0
"2017-11-29",2017-11-29,7.4,9.8,0,0
"2017-11-30",2017-11-30,3.5,3.8,0,0
"2017-12-01",2017-12-01,4.6,7.9,2.3,0
"2017-12-02",2017-12-02,2.3,3.9,0,0
"2017-12-03",2017-12-03,2.2,4.1,0,0
"2017-12-04",2017-12-04,3.2,3.8,0,0
"2017-12-05",2017-12-05,7.1,5.2,2,0
"2017-12-06",2017-12-06,6.3,10.6,11.7,0
"2017-12-07",2017-12-07,5.1,3.9,0,0
"2017-12-08",2017-12-08,4.3,2.6,0,0
"2017-12-09",2017-12-09,3.4,1.5,16.8,147
"2017-12-10",2017-12-10,5.5,0.7,0.8,8
"2017-12-11",2017-12-11,4.2,1.2,0,0
"2017-12-12",2017-12-12,5.1,3.8,1,0
"2017-12-13",2017-12-13,9.4,-2,0,0
"2017-12-14",2017-12-14,6.6,-4.2,0,0
"2017-12-15",2017-12-15,3.3,-5.7,0,0
"2017-12-16",2017-12-16,6.1,-2.7,0,0
"2017-12-17",2017-12-17,4.3,-3.7,0,0
"2017-12-18",2017-12-18,1.6,-2.7,0,0
"2017-12-19",2017-12-19,5.1,4.5,0,0
"2017-12-20",2017-12-20,7,6.3,0,0
"2017-12-21",2017-12-21,4.5,-0.7,0,0
"2017-12-22",2017-12-22,4,-2.8,2.5,3
"2017-12-23",2017-12-23,3.5,-1.1,14.7,0
"2017-12-24",2017-12-24,5,2.1,0,0
"2017-12-25",2017-12-25,8.5,0.7,11.2,74
"2017-12-26",2017-12-26,6.8,-3.6,0,0
"2017-12-27",2017-12-27,6,-8,0,0
"2017-12-28",2017-12-28,7.7,-12.1,0,0
"2017-12-29",2017-12-29,5.2,-14.2,0,0
"2017-12-30",2017-12-30,3.8,-11.7,0.3,3
"2017-12-31",2017-12-31,6.9,-11.3,0,0
"2018-01-01",2018-01-01,7.3,-14.7,0,0
"2018-01-02",2018-01-02,5.7,-12.3,0,0
"2018-01-03",2018-01-03,4.2,-6.2,0,0
"2018-01-04",2018-01-04,10.1,-3.6,34.3,340
"2018-01-05",2018-01-05,11.1,-7.8,0,0
"2018-01-06",2018-01-06,9.8,-13.1,0,0
"2018-01-07",2018-01-07,7.2,-15.1,0,0
"2018-01-08",2018-01-08,7.5,-4.3,0,0
"2018-01-09",2018-01-09,6.2,1.8,0,0
"2018-01-10",2018-01-10,3.3,-0.4,0,0
"2018-01-11",2018-01-11,5,4.1,0,0
"2018-01-12",2018-01-12,6.6,9.8,15.7,0
"2018-01-13",2018-01-13,9,10.2,31.5,0
"2018-01-14",2018-01-14,5.2,-7.1,0,0
"2018-01-15",2018-01-15,6.1,-8.9,0,8
"2018-01-16",2018-01-16,2.3,-4.2,0,0
"2018-01-17",2018-01-17,2.9,0.2,5.3,43
"2018-01-18",2018-01-18,5,-2.1,0,0
"2018-01-19",2018-01-19,4.3,-2.4,0,0
"2018-01-20",2018-01-20,6.4,2.9,0,0
"2018-01-21",2018-01-21,2.7,5.8,0,0
"2018-01-22",2018-01-22,2.2,2.4,1.5,0
"2018-01-23",2018-01-23,4.1,3.5,32,0
"2018-01-24",2018-01-24,6.5,3.6,0,0
"2018-01-25",2018-01-25,7.2,-3.6,0,0
"2018-01-26",2018-01-26,5.1,-4,0,0
"2018-01-27",2018-01-27,7.3,2.5,0,0
"2018-01-28",2018-01-28,4.6,9.4,0.8,0
"2018-01-29",2018-01-29,7.1,3.6,0,3
"2018-01-30",2018-01-30,6.8,-2.9,3.8,58
"2018-01-31",2018-01-31,5.9,-4.3,0,0
"2018-02-01",2018-02-01,6,1.5,1,0
"2018-02-02",2018-02-02,7.8,0.2,6.4,3
"2018-02-03",2018-02-03,5.8,-8.3,0,0
"2018-02-04",2018-02-04,4.8,0.2,7.4,0
"2018-02-05",2018-02-05,6,4.3,9.1,0
"2018-02-06",2018-02-06,3.7,-2.8,0,0
"2018-02-07",2018-02-07,3.3,-1.2,16.5,53
"2018-02-08",2018-02-08,6,-1.2,0,0
"2018-02-09",2018-02-09,5.1,-2.9,0,0
"2018-02-10",2018-02-10,3.8,3.8,4.1,0
"2018-02-11",2018-02-11,3.2,6.2,17.5,0
"2018-02-12",2018-02-12,4.7,5,0,0
"2018-02-13",2018-02-13,4.5,-1.3,0,0
"2018-02-14",2018-02-14,5,1.7,0,0
"2018-02-15",2018-02-15,3.8,5.6,0,0
"2018-02-16",2018-02-16,4.9,9.3,0.5,0
"2018-02-17",2018-02-17,5.2,0.6,4.3,48
"2018-02-18",2018-02-18,4.6,2,8.9,94
"2018-02-19",2018-02-19,5.6,3.3,1.5,0
"2018-02-20",2018-02-20,4.8,12.9,0.3,0
"2018-02-21",2018-02-21,6.4,13.2,0,0
"2018-02-22",2018-02-22,4.3,7.9,2,13
"2018-02-23",2018-02-23,4.1,1.7,3,0
"2018-02-24",2018-02-24,4.6,7.2,0,0
"2018-02-25",2018-02-25,6.4,4.3,13,0
"2018-02-26",2018-02-26,4.7,6.1,0,0
"2018-02-27",2018-02-27,4.2,6.5,0,0
"2018-02-28",2018-02-28,5.4,8.5,0.3,0
"2018-03-01",2018-03-01,4.4,8.6,0,0
"2018-03-02",2018-03-02,17,4.5,58.4,0
"2018-03-03",2018-03-03,11.4,4.2,0,0
"2018-03-04",2018-03-04,6.7,4,0,0
"2018-03-05",2018-03-05,7.9,2.7,1.3,15
"2018-03-06",2018-03-06,3.9,1.6,0,0
"2018-03-07",2018-03-07,10.2,2.4,14,64
"2018-03-08",2018-03-08,7,0.9,18,99
"2018-03-09",2018-03-09,5.7,0.9,0,0
"2018-03-10",2018-03-10,8,2.1,0,0
"2018-03-11",2018-03-11,5.5,2.7,0,0
"2018-03-12",2018-03-12,6.2,2.7,0,0
"2018-03-13",2018-03-13,11.2,0.7,29.2,368
"2018-03-14",2018-03-14,8.1,0.7,0.8,8
"2018-03-15",2018-03-15,7.9,2.4,0.3,3
"2018-03-16",2018-03-16,7.9,1.4,0,0
"2018-03-17",2018-03-17,8.2,-0.5,0,0
"2018-03-18",2018-03-18,6.3,-4.9,0,0
"2018-03-19",2018-03-19,6.4,-2.4,0,0
"2018-03-20",2018-03-20,3.9,-0.4,0,0
"2018-03-21",2018-03-21,8.8,1.1,0,0
"2018-03-22",2018-03-22,6,2.2,2.3,33
"2018-03-23",2018-03-23,4.3,3.2,0,0
"2018-03-24",2018-03-24,4,4.3,0.3,0
"2018-03-25",2018-03-25,6.4,2.1,1.8,3
"2018-03-26",2018-03-26,5.3,1.4,0,0
"2018-03-27",2018-03-27,3.8,1.9,0,0
"2018-03-28",2018-03-28,2.6,5.2,0.3,0
"2018-03-29",2018-03-29,2.4,6.1,0.3,0
"2018-03-30",2018-03-30,5.3,10.9,2,0
"2018-03-31",2018-03-31,6.4,8.2,0,0
"2018-04-01",2018-04-01,8,8.8,0,0
"2018-04-02",2018-04-02,2.6,2.8,2.8,18
"2018-04-03",2018-04-03,4.5,3.3,11.9,0
"2018-04-04",2018-04-04,5.8,6.9,5.1,0
"2018-04-05",2018-04-05,9.7,3.6,0,0
"2018-04-06",2018-04-06,4.9,1.3,5.3,15
"2018-04-07",2018-04-07,5.4,5,0.3,0
"2018-04-08",2018-04-08,6,2.6,0,0
"2018-04-09",2018-04-09,5.2,2.6,0,0
"2018-04-10",2018-04-10,1.6,3.5,0,0
"2018-04-11",2018-04-11,4.9,3,0,0
"2018-04-12",2018-04-12,5.2,6.2,1.5,0
"2018-04-13",2018-04-13,4.2,12.7,0,0
"2018-04-14",2018-04-14,5.9,8.2,0,0
"2018-04-15",2018-04-15,10,2.3,1,0
"2018-04-16",2018-04-16,8.8,4.2,39.9,0
"2018-04-17",2018-04-17,6.9,8.3,0,0
"2018-04-18",2018-04-18,6.5,6.4,0,0
"2018-04-19",2018-04-19,3.7,5.6,5.8,0
"2018-04-20",2018-04-20,7.2,6.4,0,0
"2018-04-21",2018-04-21,5.1,8.5,0,0
"2018-04-22",2018-04-22,4,10.3,0,0
"2018-04-23",2018-04-23,4.7,10.2,0,0
"2018-04-24",2018-04-24,5.5,12.1,0,0
"2018-04-25",2018-04-25,4.1,10.2,18.3,0
"2018-04-26",2018-04-26,5.2,14.1,5.3,0
"2018-04-27",2018-04-27,3.4,11.1,13.7,0
"2018-04-28",2018-04-28,3.5,11.8,0,0
"2018-04-29",2018-04-29,4.6,12.8,1.3,0
"2018-04-30",2018-04-30,3,7.3,5.1,0
"2018-05-01",2018-05-01,3.6,10.8,0,0
"2018-05-02",2018-05-02,6.1,21.9,0,0
"2018-05-03",2018-05-03,4.3,23.3,2.3,0
"2018-05-04",2018-05-04,5.4,20.8,0,0
"2018-05-05",2018-05-05,6.5,20.5,0,0
"2018-05-06",2018-05-06,3.3,16.9,4.8,0
"2018-05-07",2018-05-07,4,11.9,0,0
"2018-05-08",2018-05-08,3.6,10.1,0,0
"2018-05-09",2018-05-09,4,12.6,0,0
"2018-05-10",2018-05-10,4.4,11.3,0,0
"2018-05-11",2018-05-11,4.3,17.3,0,0
"2018-05-12",2018-05-12,3.4,10.8,5.3,0
"2018-05-13",2018-05-13,3.9,10.1,0,0
"2018-05-14",2018-05-14,3.9,13.2,0,0
"2018-05-15",2018-05-15,4.7,18.9,25.4,0
"2018-05-16",2018-05-16,4.2,13.4,0,0
"2018-05-17",2018-05-17,2.3,14.5,0,0
"2018-05-18",2018-05-18,6.4,14.2,0,0
"2018-05-19",2018-05-19,3.6,9.9,5.1,0
"2018-05-20",2018-05-20,5.2,18.6,2,0
"2018-05-21",2018-05-21,3.8,19.4,0,0
"2018-05-22",2018-05-22,3,16.5,0.8,0
"2018-05-23",2018-05-23,4.3,17.3,0.5,0
"2018-05-24",2018-05-24,5.3,16,0,0
"2018-05-25",2018-05-25,6.7,20.9,0,0
"2018-05-26",2018-05-26,5.2,25.4,0,0
"2018-05-27",2018-05-27,7.2,13.7,0.5,0
"2018-05-28",2018-05-28,3.5,11.2,1.5,0
"2018-05-29",2018-05-29,4.2,19.2,0,0
"2018-05-30",2018-05-30,3.8,18.1,0,0
"2018-05-31",2018-05-31,4.5,19.1,0,0
"2018-06-01",2018-06-01,3.6,21.3,0.3,0
"2018-06-02",2018-06-02,3.8,22.8,0.3,0
"2018-06-03",2018-06-03,5.9,14.6,0,0
"2018-06-04",2018-06-04,6.5,11,15.7,0
"2018-06-05",2018-06-05,3.3,11.9,8.6,0
"2018-06-06",2018-06-06,4.2,13.6,0,0
"2018-06-07",2018-06-07,5.1,15.9,0,0
"2018-06-08",2018-06-08,3,18.3,0,0
"2018-06-09",2018-06-09,3.5,22.2,0,0
"2018-06-10",2018-06-10,4.5,19.8,0,0
"2018-06-11",2018-06-11,4.7,16.4,0,0
"2018-06-12",2018-06-12,8,18.5,0,0
"2018-06-13",2018-06-13,7.1,19.7,0,0
"2018-06-14",2018-06-14,6.6,22.6,0,0
"2018-06-15",2018-06-15,3.6,15.2,0,0
"2018-06-16",2018-06-16,3.4,21.1,0,0
"2018-06-17",2018-06-17,3.4,20.7,0,0
"2018-06-18",2018-06-18,7.3,23.9,3.3,0
"2018-06-19",2018-06-19,5.7,25,0.3,0
"2018-06-20",2018-06-20,3.6,22.8,0,0
"2018-06-21",2018-06-21,3.4,22.8,0,0
"2018-06-22",2018-06-22,4.6,19,0,0
"2018-06-23",2018-06-23,4.2,17.2,0,0
"2018-06-24",2018-06-24,2.6,18.5,6.6,0
"2018-06-25",2018-06-25,4.1,20.1,8.4,0
"2018-06-26",2018-06-26,5.5,19.3,0,0
"2018-06-27",2018-06-27,5.7,21.6,2.3,0
"2018-06-28",2018-06-28,3.7,21.4,29.5,0
"2018-06-29",2018-06-29,3.5,25.6,0,0
"2018-06-30",2018-06-30,3.4,27.5,0,0
"2018-07-01",2018-07-01,3.6,28,0,0
"2018-07-02",2018-07-02,3.8,22.8,0,0
